table,key,column,problem
combo_lines,FAT-ZNST-PWD·NA#3,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,CLN-PAA-LIQ·NA#2,resolves_to,"type-code ""INORG-US"" -> no_series"
combo_lines,CLN-PAA-LIQ·NA#3,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,MIN-STPP-PWD·NA#1,resolves_to,"type-code ""PHOS-US"" -> no_series"
combo_lines,MIN-STPP-PWD·NA#2,resolves_to,"type-code ""SODA-US"" -> no_series"
combo_lines,MIN-STPP-PWD·NA#3,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,POL-PDADMAC-LIQ·NA#3,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,CLN-BAC-LIQ·NA#1,resolves_to,"type-code ""COCO-WB"" -> no_series"
combo_lines,CLN-BAC-LIQ·NA#4,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,F27-DLIM-LIQ·NA#1,resolves_to,"type-code ""ORANGE-GL"" -> no_series"
combo_lines,F27-DLIM-LIQ·NA#2,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,MIN-NA2S-FLK·NA#1,resolves_to,"type-code ""COAL-AU"" -> no_series"
combo_lines,MIN-NA2S-FLK·NA#3,resolves_to,"type-code ""SODA-US"" -> no_series"
combo_lines,MIN-NA2S-FLK·NA#4,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,AGR-24D-LIQ·NA#3,resolves_to,"type-code ""CHLOR-US"" -> no_series"
combo_lines,AGR-24D-LIQ·NA#4,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,CLN-NAPERCARB-PWD·NA#1,resolves_to,"type-code ""SODA-US"" -> no_series"
combo_lines,CLN-NAPERCARB-PWD·NA#2,resolves_to,"type-code ""INORG-US"" -> no_series"
combo_lines,CLN-NAPERCARB-PWD·NA#3,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,ELA-VACC-PWD·NA#1,resolves_to,"type-code ""AROM-US"" -> no_series"
combo_lines,ELA-VACC-PWD·NA#3,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,BCI-AKDASA-LIQ·NA#1,resolves_to,"type-code ""FA-US"" -> no_series"
combo_lines,BCI-AKDASA-LIQ·NA#2,resolves_to,"type-code ""RG-US"" -> no_series"
combo_lines,BCI-AKDASA-LIQ·NA#3,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,ELA-SBL-LIQ·NA#1,resolves_to,"type-code ""AROM-US"" -> no_series"
combo_lines,ELA-SBL-LIQ·NA#2,resolves_to,"type-code ""RG-US"" -> no_series"
combo_lines,ELA-SBL-LIQ·NA#3,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,RES-VAERPP-PWD·NA#1,resolves_to,"type-code ""RG-US"" -> no_series"
combo_lines,RES-VAERPP-PWD·NA#3,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,BCI-NAGLUC-PWD·NA#1,resolves_to,"type-code ""CORN-US"" -> no_series"
combo_lines,BCI-NAGLUC-PWD·NA#2,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,SOL-COAL-LIQ·NA#1,resolves_to,"type-code ""RG-US"" -> no_series"
combo_lines,SOL-COAL-LIQ·NA#2,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,SOL-NMP-LIQ·NA#1,resolves_to,"type-code ""RG-US"" -> no_series"
combo_lines,SOL-NMP-LIQ·NA#3,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,SOL-PGMEA-LIQ·NA#1,resolves_to,"type-code ""RG-US"" -> no_series"
combo_lines,SOL-PGMEA-LIQ·NA#3,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,BCI-H2SO4-ELEC·NA#2,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,BCI-NH3-ELEC·NA#1,resolves_to,"type-code ""NATGAS-US"" -> no_series"
combo_lines,BCI-NH3-ELEC·NA#2,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,BCI-NABROM-LIQ·NA#1,resolves_to,"type-code ""INORG-US"" -> no_series"
combo_lines,BCI-NABROM-LIQ·NA#2,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,BCI-ZNBROM-LIQ·NA#1,resolves_to,"type-code ""INORG-US"" -> no_series"
combo_lines,BCI-ZNBROM-LIQ·NA#2,resolves_to,"type-code ""ZINC-GL"" -> no_series"
combo_lines,BCI-ZNBROM-LIQ·NA#3,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,OIL-DRA-LIQ·NA#1,resolves_to,"type-code ""RG-US"" -> no_series"
combo_lines,OIL-DRA-LIQ·NA#2,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,SOL-PINE-LIQ·NA#1,resolves_to,"type-code ""GUM-WOOD-US"" -> no_series"
combo_lines,SOL-PINE-LIQ·NA#2,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,BCI-NAMBS-PWD·NA#2,resolves_to,"type-code ""SODA-US"" -> no_series"
combo_lines,BCI-NAMBS-PWD·NA#3,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,BCI-KMNO4-PWD·NA#1,resolves_to,"type-code ""INORG-US"" -> no_series"
combo_lines,BCI-KMNO4-PWD·NA#2,resolves_to,"type-code ""CHLOR-US"" -> no_series"
combo_lines,BCI-KMNO4-PWD·NA#3,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,CLN-CAHYPO-PWD·NA#1,resolves_to,"type-code ""CHLOR-US"" -> no_series"
combo_lines,CLN-CAHYPO-PWD·NA#2,resolves_to,"type-code ""LIME-US"" -> no_series"
combo_lines,CLN-CAHYPO-PWD·NA#3,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,POL-HPMC-PWD·NA#1,resolves_to,"type-code ""WOOD-PULP-US"" -> no_series"
combo_lines,POL-HPMC-PWD·NA#2,resolves_to,"type-code ""RG-US"" -> no_series"
combo_lines,POL-HPMC-PWD·NA#4,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,POL-MCC-PWD·NA#1,resolves_to,"type-code ""WOOD-PULP-US"" -> no_series"
combo_lines,POL-MCC-PWD·NA#2,resolves_to,"type-code ""INORG-US"" -> no_series"
combo_lines,POL-MCC-PWD·NA#3,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,FAT-MGST-PWD·NA#1,resolves_to,"type-code ""FA-US"" -> no_series"
combo_lines,FAT-MGST-PWD·NA#2,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,BIO-GELA-PWD·GL#1,resolves_to,"type-code ""HIDES-GL"" -> no_series"
combo_lines,BIO-GELA-PWD·GL#2,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,BIO-PECT-PWD·GL#1,resolves_to,"type-code ""ORANGE-GL"" -> no_series"
combo_lines,BIO-PECT-PWD·GL#2,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,BIO-CARR-PWD·GL#1,resolves_to,"type-code ""INORG-US"" -> no_series"
combo_lines,BIO-CARR-PWD·GL#2,resolves_to,"type-code ""KCL-WB"" -> no_series"
combo_lines,BIO-CARR-PWD·GL#3,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,BIO-NAALG-PWD·GL#1,resolves_to,"type-code ""INORG-US"" -> no_series"
combo_lines,BIO-NAALG-PWD·GL#2,resolves_to,"type-code ""SODA-US"" -> no_series"
combo_lines,BIO-NAALG-PWD·GL#3,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,PRES-NABENZ-PWD·NA#1,resolves_to,"type-code ""AROM-US"" -> no_series"
combo_lines,PRES-NABENZ-PWD·NA#2,resolves_to,"type-code ""NAOH-US"" -> no_series"
combo_lines,PRES-NABENZ-PWD·NA#3,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,PRES-KSRB-PWD·NA#1,resolves_to,"type-code ""RG-US"" -> no_series"
combo_lines,PRES-KSRB-PWD·NA#2,resolves_to,"type-code ""CHLOR-US"" -> no_series"
combo_lines,PRES-KSRB-PWD·NA#3,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,MIN-MSTARCH-PWD·NA#1,resolves_to,"type-code ""CORN-US"" -> no_series"
combo_lines,MIN-MSTARCH-PWD·NA#2,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,BCI-LIOH-PWD·GL#1,resolves_to,"type-code ""NATGAS-US"" -> no_series"
combo_lines,BCI-LIOH-PWD·GL#3,resolves_to,"type-code ""LIME-US"" -> no_series"
combo_lines,LUB-PAG-LIQ·NA#1,resolves_to,"type-code ""RG-US"" -> no_series"
combo_lines,LUB-PAG-LIQ·NA#2,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,LUB-ESTER-LIQ·NA#1,resolves_to,"type-code ""FA-US"" -> no_series"
combo_lines,LUB-ESTER-LIQ·NA#3,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,AGR-LCHT-TC·NA#1,resolves_to,"type-code ""AROM-US"" -> no_series"
combo_lines,AGR-LCHT-TC·NA#2,resolves_to,"type-code ""CHLOR-US"" -> no_series"
combo_lines,AGR-LCHT-TC·NA#3,resolves_to,"type-code ""ELEC-US-PPI"" -> no_series"
combo_lines,AGR-THIAMX-TC·NA#1,resolves_to,"type-code ""AROM-US"" -> no_series"
combo_lines,AGR-THIAMX-TC·NA#2,resolves_to,"type-code ""CHLOR-US"" -> no_series"
